model,year,mileage,image,color,cost
2019 Audi A5 Sportback,2019,"36,070 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/358/6/e02feb7d.jpg?w=197&h=148&q=85&mode=1,Ibis White,"$29,900"
2019 Audi A5 Sportback,2019,"21,221 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/628/170/1/09bd10b3.jpg?w=197&h=148&q=85&mode=1,Black,"$33,900"
2019 Audi RS 3,2019,105 miles,https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/191/163/9/3699cd38.jpg?w=197&h=148&q=85&mode=1,Black,"$54,900"
2018 Audi Q3,2018,"49,580 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/498/387/0/a89c56bc.jpg?w=197&h=148&q=85&mode=1,Brilliant Black,"$23,900"
2018 Audi Q5,2018,"48,075 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/330/624/0/a8e3e6d3.jpg?w=197&h=148&q=85&mode=1,Blue,"$32,700"
2018 Audi A8 L,2018,"30,493 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/946/158/2/96f32473.jpg?w=197&h=148&q=85&mode=1,Gray,"$39,495"
2018 Audi SQ5,2018,"52,195 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/746/913/3/847ba25d.jpg?w=197&h=148&q=85&mode=1,Not Given,"$42,895"
2018 Audi S5 Sportback,2018,"21,747 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/708/182/4/7ed13ce9.jpg?w=197&h=148&q=85&mode=1,Black,"$43,900"
2018 Audi S5 Sportback,2018,"21,494 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/672/798/5/99122474.jpg?w=197&h=148&q=85&mode=1,Navarra Blue Metallic,"$44,900"
2018 Audi S5 Sportback,2018,"12,303 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/708/167/6/f3b8f904.jpg?w=197&h=148&q=85&mode=1,White,"$45,900"
2017 Audi A6,2017,"77,207 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/725/602/6/94753663.jpg?w=197&h=148&q=85&mode=1,Moonlight Blue Metallic,"$20,900"
2017 Audi A6,2017,"66,889 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/765/016/3/ae604dcc.jpg?w=197&h=148&q=85&mode=1,Black,"$25,700"
2017 Audi A6,2017,"41,430 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/569/849/3/0b4c38b9.jpg?w=197&h=148&q=85&mode=1,Dark Gray,"$26,990"
2017 Audi Q7,2017,"92,002 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/416/919/6/0a292bf7.jpg?w=197&h=148&q=85&mode=1,White,"$27,900"
2017 Audi Q7,2017,"39,740 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/608/142/2/7f2e318b.jpg?w=197&h=148&q=85&mode=1,Graphite Gray Metallic,"$32,900"
2017 Audi Q7,2017,"41,913 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/315/696/6/89508678.jpg?w=197&h=148&q=85&mode=1,Ink Blue Metallic,"$34,900"
2015 Audi Q5,2015,"97,629 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/740/772/5/725aa60c.jpg?w=197&h=148&q=85&mode=1,Monsoon Gray Metallic,"$15,900"
2015 Audi A6,2015,"80,799 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/537/922/8/596cfcc1.jpg?w=197&h=148&q=85&mode=1,Glacier White Metallic,"$16,900"
2015 Audi A3,2015,"55,576 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/034/304/0/efcb9b5b.jpg?w=197&h=148&q=85&mode=1,Silver,"$20,775"
2014 Audi A4,2014,"81,004 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/419/997/8/103cb624.jpg?w=197&h=148&q=85&mode=1,White,"$14,800"
2012 Audi A5,2012,"61,790 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/817/389/5/9637413c.jpg?w=197&h=148&q=85&mode=1,Moonlight Blue Metallic,"$14,900"
2011 Audi A5,2011,"98,583 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/194/414/443/2/84c9ee4d.jpg?w=197&h=148&q=85&mode=1,Brilliant Black,"$11,900"
2019 Audi A5,2019,"25,880 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/782/601/0/d78450e0.jpg?w=197&h=148&q=85&mode=1,Black,"$33,998"
2019 Audi Q7,2019,"20,179 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/565/634/3/7fdb2742.jpg?w=197&h=148&q=85&mode=1,White,"$47,994"
2019 Audi RS 3,2019,"10,863 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/711/1/d6c42f58.jpg?w=197&h=148&q=85&mode=1,Gray,"$55,998"
2018 Audi A4,2018,"33,299 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/737/242/6/51d8788a.jpg?w=197&h=148&q=85&mode=1,White,"$25,995"
2018 Audi Q3,2018,"34,601 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/736/656/7/8afab41d.jpg?w=197&h=148&q=85&mode=1,Gray,"$26,995"
2018 Audi Q5,2018,"72,947 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/562/303/6/e5f9bbf3.jpg?w=197&h=148&q=85&mode=1,Blue,"$27,480"
2018 Audi Q5,2018,"40,932 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/562/296/0/e218b9b0.jpg?w=197&h=148&q=85&mode=1,Blue,"$27,995"
2018 Audi Q3,2018,"31,162 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/785/910/0/1afeefc1.jpg?w=197&h=148&q=85&mode=1,Gray,"$28,336"
2018 Audi Q5,2018,"34,480 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/564/096/2/5881fff0.jpg?w=197&h=148&q=85&mode=1,Black,"$28,995"
2018 Audi Q5,2018,"49,383 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/553/848/7/b6690f16.jpg?w=197&h=148&q=85&mode=1,Blue,"$29,499"
2018 Audi A5,2018,"31,000 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/566/960/3/f386e748.jpg?w=197&h=148&q=85&mode=1,Black,"$29,997"
2018 Audi Q7,2018,"62,067 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/561/769/8/beb82db6.jpg?w=197&h=148&q=85&mode=1,Black,"$31,995"
2018 Audi Q5,2018,"35,908 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/554/407/3/ec568cdb.jpg?w=197&h=148&q=85&mode=1,Gray,"$32,533"
2018 Audi SQ5,2018,"52,209 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/737/240/8/a212bf3f.jpg?w=197&h=148&q=85&mode=1,Black,"$40,995"
2017 Audi A3,2017,"35,089 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/553/848/2/86ba5a7f.jpg?w=197&h=148&q=85&mode=1,Gray,"$18,499"
2017 Audi A3,2017,"23,576 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/554/438/4/f938a052.jpg?w=197&h=148&q=85&mode=1,Black,"$19,995"
2017 Audi A4,2017,"73,029 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/661/646/9/0eda59da.jpg?w=197&h=148&q=85&mode=1,Silver,"$19,995"
2017 Audi A3,2017,"23,905 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/199/786/338/1/b5d073d7.jpg?w=197&h=148&q=85&mode=1,Black,"$20,377"
2017 Audi Q3,2017,"61,303 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/658/026/0/f9d1bf8d.jpg?w=197&h=148&q=85&mode=1,Black,"$20,480"
2017 Audi Q3,2017,"53,484 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/556/735/5/55114db6.jpg?w=197&h=148&q=85&mode=1,Black,"$20,980"
2017 Audi Q3,2017,"52,679 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/541/187/5/a2d77fc2.jpg?w=197&h=148&q=85&mode=1,Black,"$20,999"
