model,year,mileage,image,color,cost
2020 Chevrolet Malibu,2020,"14,684 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/631/782/5/73952c2d.jpg?w=197&h=148&q=85&mode=1,Mosaic Black Metallic,"$16,900"
2020 Chevrolet Equinox,2020,"35,490 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/730/676/6/6f569237.jpg?w=197&h=148&q=85&mode=1,Nightfall Gray Metallic,"$22,000"
2020 Chevrolet Trax,2020,"2,152 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/368/501/3/c06590b0.jpg?w=197&h=148&q=85&mode=1,Mosaic Black Metallic,"$22,593"
2020 Chevrolet Impala,2020,"3,480 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/433/3/ddf96018.jpg?w=197&h=148&q=85&mode=1,Iridescent Pearl Tricoat,"$29,983"
2020 Chevrolet Silverado 1500,2020,"12,753 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/385/0/735a1932.jpg?w=197&h=148&q=85&mode=1,Shadow Gray Metallic,"$39,827"
2020 Chevrolet Camaro,2020,"5,061 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/248/754/9/266380e6.jpg?w=197&h=148&q=85&mode=1,Summit White,"$40,995"
2020 Chevrolet Camaro,2020,"6,168 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/393/322/5/d0bef900.jpg?w=197&h=148&q=85&mode=1,Black,"$44,900"
2020 Chevrolet Corvette,2020,"3,228 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/393/322/6/30e0ef85.jpg?w=197&h=148&q=85&mode=1,Black,"$103,900"
2019 Chevrolet Malibu,2019,"29,756 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/740/777/5/3a2f124a.jpg?w=197&h=148&q=85&mode=1,Shadow Gray Metallic,"$15,900"
2019 Chevrolet Equinox,2019,"55,910 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/205/004/9/42b89a4d.jpg?w=197&h=148&q=85&mode=1,Summit White,"$16,344"
2019 Chevrolet Equinox,2019,"55,131 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/002/815/2/c8105ea6.jpg?w=197&h=148&q=85&mode=1,Nightfall Gray Metallic,"$18,700"
2019 Chevrolet Impala,2019,"43,918 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/730/673/9/a889e7fc.jpg?w=197&h=148&q=85&mode=1,Summit White,"$20,000"
2019 Chevrolet Express Passenger,2019,"21,980 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/596/393/5/c47460a9.jpg?w=197&h=148&q=85&mode=1,Summit White,"$23,472"
2019 Chevrolet Blazer,2019,"11,365 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/199/353/792/9/2c6a2c34.jpg?w=197&h=148&q=85&mode=1,Nightfall Gray Metallic,"$24,794"
2019 Chevrolet Express Cargo Van,2019,"21,503 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/016/566/3/ee5c2297.jpg?w=197&h=148&q=85&mode=1,Summit White,"$25,420"
2019 Chevrolet Traverse,2019,"19,280 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/881/861/9/47475c9d.jpg?w=197&h=148&q=85&mode=1,Black Currant Metallic,"$35,354"
2019 Chevrolet Silverado 1500,2019,"13,004 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/753/862/8/89bea6dd.jpg?w=197&h=148&q=85&mode=1,Red Hot,"$37,900"
2019 Chevrolet Silverado 2500HD,2019,"64,931 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/304/456/0/ed1b0baf.jpg?w=197&h=148&q=85&mode=1,Summit White,"$42,795"
2019 Chevrolet Suburban,2019,"31,442 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/393/319/6/b4e5ab8a.jpg?w=197&h=148&q=85&mode=1,Black,"$42,900"
2018 Chevrolet Cruze,2018,"41,074 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/569/844/4/5661a742.jpg?w=197&h=148&q=85&mode=1,Summit White,"$10,990"
2018 Chevrolet Cruze,2018,"43,389 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/569/845/1/19601b0c.jpg?w=197&h=148&q=85&mode=1,Summit White,"$11,375"
2018 Chevrolet Trax,2018,"19,856 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/950/417/1/c3d6396d.jpg?w=197&h=148&q=85&mode=1,Mosaic Black Metallic,"$14,800"
