model,year,mileage,image,color,cost
2019 Chrysler Pacifica,2019,"44,063 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/660/359/1/de49ef1f.jpg?w=197&h=148&q=85&mode=1,Bright White Clearcoat,"$20,900"
2019 Chrysler 300,2019,"18,336 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/740/775/8/9fd8a7f8.jpg?w=197&h=148&q=85&mode=1,Bright White Clearcoat,"$21,900"
2019 Chrysler 300,2019,"45,000 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/573/096/7/4fc19cdd.jpg?w=197&h=148&q=85&mode=1,Maximum Steel Metallic Clearcoat,"$22,495"
2019 Chrysler 300,2019,"45,118 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/730/676/8/0ef16d77.jpg?w=197&h=148&q=85&mode=1,Bright White Clearcoat,"$25,000"
2019 Chrysler 300,2019,"50,407 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/730/668/9/d97b567a.jpg?w=197&h=148&q=85&mode=1,Velvet Red Pearlcoat,"$25,000"
2018 Chrysler Pacifica,2018,"17,060 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/818/358/8/b4025ca6.jpg?w=197&h=148&q=85&mode=1,Granite Crystal Metallic Clearcoat,"$24,998"
2017 Chrysler Pacifica,2017,"26,674 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/846/815/7/4ee921f1.jpg?w=197&h=148&q=85&mode=1,Jazz Blue Pearlcoat,"$13,900"
2017 Chrysler 300,2017,"54,096 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/726/616/1/aea8c1a2.jpg?w=197&h=148&q=85&mode=1,Gloss Black,"$16,500"
2017 Chrysler Pacifica,2017,"67,908 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/475/886/8/647c378d.jpg?w=197&h=148&q=85&mode=1,Brilliant Black Crystal Pearlcoat,"$16,900"
2017 Chrysler Pacifica,2017,"64,510 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/324/343/2/8299a14d.jpg?w=197&h=148&q=85&mode=1,Brilliant Black Crystal Pearlcoat,"$18,894"
