model,year,mileage,image,color,cost
2020 Dodge Charger,2020,744 miles,https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/723/155/6/81963b63.jpg?w=197&h=148&q=85&mode=1,Pitch Black Clearcoat,"$27,900"
2020 Dodge Durango,2020,"10,285 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/697/196/4/016a06b6.jpg?w=197&h=148&q=85&mode=1,White Knuckle Clearcoat,"$40,195"
2020 Dodge Durango,2020,"6,111 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/219/136/9/b2720cbd.jpg?w=197&h=148&q=85&mode=1,White Knuckle Clearcoat,"$40,495"
2019 Dodge Grand Caravan,2019,"53,491 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/002/805/8/fb563194.jpg?w=197&h=148&q=85&mode=1,White Knuckle Clearcoat,"$16,500"
2019 Dodge Grand Caravan,2019,"49,905 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/908/719/8/e3afa295.jpg?w=197&h=148&q=85&mode=1,Black Onyx Crystal Pearlcoat,"$16,900"
2019 Dodge Grand Caravan,2019,"35,320 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/730/676/4/99f5ac8a.jpg?w=197&h=148&q=85&mode=1,White Knuckle Clearcoat,"$20,000"
2019 Dodge Journey,2019,"31,471 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/730/667/9/2b505027.jpg?w=197&h=148&q=85&mode=1,Pitch Black Clearcoat,"$21,000"
2019 Dodge Journey,2019,"44,001 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/506/776/8/2cc20435.jpg?w=197&h=148&q=85&mode=1,Billet Clearcoat,"$21,000"
2019 Dodge Challenger,2019,"50,577 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/631/786/3/44a4450a.jpg?w=197&h=148&q=85&mode=1,Pitch Black Clearcoat,"$21,900"
2019 Dodge Charger,2019,"34,605 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/631/777/3/372dfad0.jpg?w=197&h=148&q=85&mode=1,Torred Clearcoat,"$22,900"
2019 Dodge Charger,2019,"41,402 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/537/918/7/b0449cfd.jpg?w=197&h=148&q=85&mode=1,White Knuckle Clearcoat,"$22,900"
2019 Dodge Durango,2019,"51,940 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/702/875/8/224d881c.jpg?w=197&h=148&q=85&mode=1,Billet Clearcoat,"$25,900"
