model,year,mileage,image,color,cost
2020 Ford Transit Passenger Wagon,2020,"8,734 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/775/842/1/e37dc547.jpg?w=197&h=148&q=85&mode=1,Ingot Silver Metallic,"$31,900"
2020 Ford Mustang,2020,"2,743 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/629/027/3/41639125.jpg?w=197&h=148&q=85&mode=1,Red,"$32,995"
2020 Ford F-150,2020,"14,636 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/018/973/4/ef95c2a6.jpg?w=197&h=148&q=85&mode=1,10045,"$44,900"
2019 Ford Fusion Hybrid,2019,"46,294 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/602/345/4/cfe0a654.jpg?w=197&h=148&q=85&mode=1,Red,"$17,000"
2019 Ford Transit Connect Van,2019,"36,811 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/799/530/2/dc580142.jpg?w=197&h=148&q=85&mode=1,White,"$17,500"
2019 Ford Fusion Hybrid,2019,"44,538 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/594/256/8/cfe0a654.jpg?w=197&h=148&q=85&mode=1,Silver,"$18,000"
2019 Ford Fusion Hybrid,2019,"47,782 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/607/714/4/cfe0a654.jpg?w=197&h=148&q=85&mode=1,Ruby Red Metallic Tinted Clearcoat,"$18,000"
2019 Ford Fusion,2019,"62,113 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/072/920/1/14b5b3cb.jpg?w=197&h=148&q=85&mode=1,Velocity Blue Metallic,"$18,500"
2019 Ford Fusion,2019,"32,907 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/499/825/8/21ce1150.jpg?w=197&h=148&q=85&mode=1,Ruby Red Metallic Tinted Clearcoat,"$19,990"
2019 Ford Fusion,2019,"45,012 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/519/953/0/f0934c70.jpg?w=197&h=148&q=85&mode=1,White,"$21,000"
2019 Ford Transit Passenger Wagon,2019,"41,560 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/740/778/2/de255b7e.jpg?w=197&h=148&q=85&mode=1,Oxford White,"$23,900"
2019 Ford Expedition,2019,"12,558 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/648/092/0/744bc04b.jpg?w=197&h=148&q=85&mode=1,White Platinum Metallic Tri-Coat,"$59,998"
2018 Ford Fusion Hybrid,2018,"55,165 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/760/383/9/c1ce4a80.jpg?w=197&h=148&q=85&mode=1,Oxford White,"$12,900"
2018 Ford Escape,2018,"54,157 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/569/846/2/4bfb47cc.jpg?w=197&h=148&q=85&mode=1,MID BLUE,"$15,890"
2018 Ford Escape,2018,"78,425 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/339/877/0/129379eb.jpg?w=197&h=148&q=85&mode=1,Shadow Black,"$16,000"
2018 Ford Fusion Hybrid,2018,"43,262 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/799/529/5/96934d18.jpg?w=197&h=148&q=85&mode=1,BLACK,"$18,500"
2018 Ford Escape,2018,"35,449 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/429/518/8/7f13d868.jpg?w=197&h=148&q=85&mode=1,BLACK,"$19,500"
2017 Ford Fiesta,2017,"4,363 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/664/311/0/93cda263.jpg?w=197&h=148&q=85&mode=1,Ingot Silver Metallic,"$11,990"
