model,year,mileage,image,color,cost
2019 Honda Accord Sedan,2019,"28,088 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/098/634/3/ed140944.jpg?w=197&h=148&q=85&mode=1,White,"$21,700"
2019 Honda CR-V,2019,"44,436 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/462/865/8/cd573e10.jpg?w=197&h=148&q=85&mode=1,Crystal Black Pearl,"$22,900"
2019 Honda HR-V,2019,"16,021 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/433/167/3/2a159f54.jpg?w=197&h=148&q=85&mode=1,Platinum White Pearl,"$25,800"
2019 Honda Passport,2019,"14,682 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/192/342/8/a47e9725.jpg?w=197&h=148&q=85&mode=1,Modern Steel Metallic,"$36,198"
2018 Honda Civic Sedan,2018,"33,187 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/246/805/0/70989139.jpg?w=197&h=148&q=85&mode=1,Modern Steel Metallic,"$14,900"
2018 Honda Civic Sedan,2018,"33,887 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/191/795/892/3/deb646d8.jpg?w=197&h=148&q=85&mode=1,White,"$14,995"
2018 Honda Civic Sedan,2018,"27,477 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/646/602/3/e2ad4e4c.jpg?w=197&h=148&q=85&mode=1,Not Given,"$15,995"
2018 Honda CR-V,2018,"37,946 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/829/228/4/17d4d84f.jpg?w=197&h=148&q=85&mode=1,Lunar Silver Metallic,"$16,900"
2018 Honda HR-V,2018,"10,838 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/109/306/3/eeff2e52.jpg?w=197&h=148&q=85&mode=1,Misty Green Pearl,"$17,900"
2017 Honda Civic Sedan,2017,"25,362 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/246/808/2/3ca2e2e4.jpg?w=197&h=148&q=85&mode=1,Burgundy Night Pearl,"$13,900"
2017 Honda Fit,2017,"42,598 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/730/671/2/d4cdaea5.jpg?w=197&h=148&q=85&mode=1,Gray,"$15,000"
2017 Honda Fit,2017,"12,438 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/005/792/8/6d1b0cfc.jpg?w=197&h=148&q=85&mode=1,White Orchid Pearl,"$15,400"
2017 Honda Civic Sedan,2017,"37,399 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/236/560/2/9282470f.jpg?w=197&h=148&q=85&mode=1,Taffeta White,"$15,900"
2017 Honda Accord Sedan,2017,"51,956 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/533/805/6/bcdcb15f.jpg?w=197&h=148&q=85&mode=1,Champagne Frost Pearl,"$15,994"
2017 Honda Civic Sedan,2017,"27,996 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/525/544/3/e82fa38f.jpg?w=197&h=148&q=85&mode=1,Taffeta White,"$15,995"
