model,year,mileage,image,color,cost
2020 Hyundai Elantra,2020,"6,555 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/832/583/3/7559016a.jpg?w=197&h=148&q=85&mode=1,Quartz White Pearl,"$13,900"
2019 Hyundai Elantra,2019,"19,820 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/134/249/4/16435c39.jpg?w=197&h=148&q=85&mode=1,Galactic Gray,"$14,595"
2019 Hyundai Kona,2019,"39,054 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/339/872/1/bcd64517.jpg?w=197&h=148&q=85&mode=1,Chalk White,"$15,500"
2019 Hyundai Sonata,2019,"52,074 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/701/737/0/e0d7a335.jpg?w=197&h=148&q=85&mode=1,Phantom Black,"$16,694"
2019 Hyundai Sonata,2019,"7,598 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/199/128/133/8/fa2343bb.jpg?w=197&h=148&q=85&mode=1,Phantom Black,"$16,894"
2019 Hyundai Elantra,2019,"29,207 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/730/672/0/94364a9f.jpg?w=197&h=148&q=85&mode=1,Symphony Silver,"$17,000"
2019 Hyundai Elantra,2019,"23,632 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/638/910/5/b937321c.jpg?w=197&h=148&q=85&mode=1,Phantom Black,"$17,694"
2019 Hyundai Tucson,2019,"55,144 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/715/563/6/2808957c.jpg?w=197&h=148&q=85&mode=1,Molten Silver,"$18,000"
2019 Hyundai Sonata,2019,"2,653 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/199/128/137/2/25f8c147.jpg?w=197&h=148&q=85&mode=1,Phantom Black,"$18,994"
2019 Hyundai Sonata,2019,"31,595 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/577/491/9/85271522.jpg?w=197&h=148&q=85&mode=1,Lakeside Blue,"$18,994"
2019 Hyundai Tucson,2019,"32,964 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/715/561/5/5008f2e5.jpg?w=197&h=148&q=85&mode=1,White Pearl,"$21,000"
2018 Hyundai Elantra,2018,"53,750 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/315/700/4/65149000.jpg?w=197&h=148&q=85&mode=1,Machine Gray,"$10,900"
2018 Hyundai Elantra GT,2018,"36,150 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/799/525/3/203af433.jpg?w=197&h=148&q=85&mode=1,Ceramic White,"$14,000"
2018 Hyundai Elantra,2018,"44,826 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/443/293/4/8f4d9a93.jpg?w=197&h=148&q=85&mode=1,Phantom Black,"$14,294"
2018 Hyundai Sonata,2018,"34,316 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/314/439/4/d671eec0.jpg?w=197&h=148&q=85&mode=1,Machine Gray,"$14,700"
2018 Hyundai Elantra,2018,"21,543 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/533/807/3/5729eac9.jpg?w=197&h=148&q=85&mode=1,Machine Gray,"$15,194"
2018 Hyundai Sonata,2018,"33,008 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/443/282/8/9c85eb03.jpg?w=197&h=148&q=85&mode=1,Phantom Black,"$15,394"
2018 Hyundai Sonata,2018,"29,297 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/443/292/9/19f17053.jpg?w=197&h=148&q=85&mode=1,Lakeside Blue,"$15,794"
2018 Hyundai Elantra,2018,"29,481 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/657/075/7/be4f416f.jpg?w=197&h=148&q=85&mode=1,Symphony Silver,"$15,994"
2018 Hyundai Sonata,2018,"25,816 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/430/311/3/c289a0d9.jpg?w=197&h=148&q=85&mode=1,Electric Blue,"$16,294"
2018 Hyundai Sonata,2018,"28,953 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/255/461/9/3022446e.jpg?w=197&h=148&q=85&mode=1,Quartz White Pearl,"$16,394"
2018 Hyundai Sonata,2018,"16,688 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/520/715/0/42d994be.jpg?w=197&h=148&q=85&mode=1,Quartz White Pearl,"$16,994"
2018 Hyundai Sonata,2018,"33,522 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/533/803/5/e0d26e6c.jpg?w=197&h=148&q=85&mode=1,Electric Blue,"$16,994"
2018 Hyundai Ioniq Hybrid,2018,"38,694 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/169/651/3/56173d01.jpg?w=197&h=148&q=85&mode=1,Symphony Air Silver,"$17,600"
2018 Hyundai Sonata,2018,"16,190 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/140/422/5/2d338de1.jpg?w=197&h=148&q=85&mode=1,Symphony Silver,"$17,894"
2018 Hyundai Sonata,2018,"24,101 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/731/294/8/1ce60f4c.jpg?w=197&h=148&q=85&mode=1,Machine Gray,"$17,994"
2018 Hyundai Sonata,2018,"30,106 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/781/548/0/37669720.jpg?w=197&h=148&q=85&mode=1,Lakeside Blue,"$18,294"
2018 Hyundai Sonata,2018,"22,619 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/467/873/0/bcb4ade3.jpg?w=197&h=148&q=85&mode=1,Phantom Black,"$18,394"
2018 Hyundai Kona,2018,"32,382 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/716/134/6/a78e431a.jpg?w=197&h=148&q=85&mode=1,Thunder Gray,"$18,994"
2018 Hyundai Sonata,2018,"48,987 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/507/628/4/ca444cb3.jpg?w=197&h=148&q=85&mode=1,Phantom Black,"$20,064"
2018 Hyundai Tucson,2018,"18,563 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/430/300/8/1bdecf8b.jpg?w=197&h=148&q=85&mode=1,Black Noir Pearl,"$25,494"
