model,year,mileage,image,color,cost
2020 Kia Sportage,2020,"10,621 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/385/332/2/0119e023.jpg?w=197&h=148&q=85&mode=1,Sparkling Silver,"$18,900"
2019 Kia Soul,2019,"36,404 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/393/329/8/72f84885.jpg?w=197&h=148&q=85&mode=1,Shadow Black,"$13,900"
2019 Kia Rio,2019,"41,155 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/339/874/8/b8a83b99.jpg?w=197&h=148&q=85&mode=1,Phantom Gray,"$14,000"
2019 Kia Forte,2019,"39,934 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/150/835/1/16ac713d.jpg?w=197&h=148&q=85&mode=1,Silky Silver,"$14,300"
2019 Kia Forte,2019,"39,972 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/519/956/1/dfb4c3db.jpg?w=197&h=148&q=85&mode=1,Gravity Grey,"$16,000"
2019 Kia Sorento,2019,"17,985 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/520/351/9/383df21c.jpg?w=197&h=148&q=85&mode=1,Titanium Silver,"$18,990"
2018 Kia Forte5,2018,"12,567 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/005/801/8/b335d177.jpg?w=197&h=148&q=85&mode=1,Aurora Black,"$13,500"
2018 Kia Niro,2018,"36,172 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/799/529/6/7f2be7a0.jpg?w=197&h=148&q=85&mode=1,Snow White Pearl,"$15,500"
2018 Kia Soul,2018,"23,671 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/077/225/0/7ee0d6db.jpg?w=197&h=148&q=85&mode=1,Titanium Gray,"$15,800"
2018 Kia Sportage,2018,"25,053 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/077/222/7/136f78ea.jpg?w=197&h=148&q=85&mode=1,Clear White,"$16,700"
2018 Kia Sorento,2018,"23,603 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/443/040/7/e12e12b5.jpg?w=197&h=148&q=85&mode=1,Ebony Black,"$18,500"
