model,year,mileage,image,color,cost
2020 Nissan Altima,2020,"25,494 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/626/285/0/538f2885.jpg?w=197&h=148&q=85&mode=1,Brilliant Silver Metallic,"$16,900"
2020 Nissan Altima,2020,"7,104 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/594/851/4/b59e724d.jpg?w=197&h=148&q=85&mode=1,Glacier White,"$17,895"
2020 Nissan Altima,2020,"11,781 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/107/155/2/4ba000c6.jpg?w=197&h=148&q=85&mode=1,Glacier White,"$18,995"
2020 Nissan Altima,2020,"5,554 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/107/081/2/1dec3478.jpg?w=197&h=148&q=85&mode=1,Super Black,"$19,595"
2020 Nissan Altima,2020,"7,244 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/107/081/1/1fe0bce1.jpg?w=197&h=148&q=85&mode=1,Super Black,"$19,595"
2020 Nissan Altima,2020,"5,210 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/300/692/5/08cab4e0.jpg?w=197&h=148&q=85&mode=1,Gun Metallic,"$19,995"
2020 Nissan Altima,2020,"6,480 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/300/693/8/298078c4.jpg?w=197&h=148&q=85&mode=1,Glacier White,"$19,995"
2020 Nissan Altima,2020,"6,549 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/300/692/7/2bf075b0.jpg?w=197&h=148&q=85&mode=1,Super Black,"$19,995"
2020 Nissan Altima,2020,"6,755 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/300/692/2/c62a0310.jpg?w=197&h=148&q=85&mode=1,Super Black,"$19,995"
2020 Nissan Altima,2020,"6,986 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/107/155/3/5871ed1c.jpg?w=197&h=148&q=85&mode=1,Gun Metallic,"$19,995"
2020 Nissan Altima,2020,"7,878 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/107/080/4/dd7c12d2.jpg?w=197&h=148&q=85&mode=1,Gun Metallic,"$19,995"
