model,year,mileage,image,color,cost
2016 Tesla Model S,2016,"39,461 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/564/864/8/416d76b8.jpg?w=197&h=148&q=85&mode=1,Black,"$43,000"
2019 Tesla Model 3,2019,"16,666 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/725/061/6/31792ac5.jpg?w=197&h=148&q=85&mode=1,Black,"$37,590"
2019 Tesla Model 3,2019,"26,021 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/957/5/b3553c3e.jpg?w=197&h=148&q=85&mode=1,Black,"$37,590"
2019 Tesla Model 3,2019,"24,131 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/235/940/9/7cc327cb.jpg?w=197&h=148&q=85&mode=1,Black,"$37,990"
2019 Tesla Model 3,2019,"24,317 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/368/615/6/97dc2f6a.jpg?w=197&h=148&q=85&mode=1,Black,"$37,990"
2019 Tesla Model 3,2019,"25,263 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/988/1/656e4456.jpg?w=197&h=148&q=85&mode=1,Black,"$37,990"
2019 Tesla Model 3,2019,"13,198 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/712/841/1/9bf3b8da.jpg?w=197&h=148&q=85&mode=1,Black,"$38,590"
2019 Tesla Model 3,2019,"13,824 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/653/837/3/4ccda329.jpg?w=197&h=148&q=85&mode=1,Black,"$38,590"
2019 Tesla Model 3,2019,"17,191 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/628/9/f1c2fcd5.jpg?w=197&h=148&q=85&mode=1,Black,"$38,590"
2019 Tesla Model 3,2019,"10,247 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/521/654/6/b9284d3a.jpg?w=197&h=148&q=85&mode=1,Black,"$38,990"
2019 Tesla Model 3,2019,"11,855 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/792/414/7/15755d9b.jpg?w=197&h=148&q=85&mode=1,Black,"$38,990"
2019 Tesla Model 3,2019,"17,669 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/866/3/3f33e3cd.jpg?w=197&h=148&q=85&mode=1,Blue,"$38,990"
2019 Tesla Model 3,2019,"18,666 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/635/510/3/57cb1d74.jpg?w=197&h=148&q=85&mode=1,Black,"$38,990"
