model,year,mileage,image,color,cost
2020 Toyota Corolla,2020,"10,581 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/725/592/0/8cfb8b59.jpg?w=197&h=148&q=85&mode=1,Super White,"$16,900"
2018 Toyota Corolla,2018,"43,095 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/569/848/9/1bb72888.jpg?w=197&h=148&q=85&mode=1,BLACK,"$14,788"
2018 Toyota Corolla,2018,"33,831 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/628/463/4/01a31fd5.jpg?w=197&h=148&q=85&mode=1,Falcon Gray Metallic,"$15,995"
2018 Toyota RAV4,2018,"64,723 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/788/210/8/43883888.jpg?w=197&h=148&q=85&mode=1,Super White,"$16,998"
2018 Toyota Camry,2018,"24,152 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/317/784/6/b4fe1f81.jpg?w=197&h=148&q=85&mode=1,Celestial Silver Metallic,"$19,995"
2018 Toyota RAV4,2018,"36,457 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/628/470/3/a9d15c32.jpg?w=197&h=148&q=85&mode=1,Black,"$24,995"
2017 Toyota Corolla,2017,"42,351 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/767/238/3/72684737.jpg?w=197&h=148&q=85&mode=1,Barcelona Red Metallic,"$12,900"
2017 Toyota Corolla,2017,"31,965 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/474/013/4/3fd0d519.jpg?w=197&h=148&q=85&mode=1,Black,"$13,995"
2017 Toyota Corolla,2017,"34,083 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/628/463/2/297dace3.jpg?w=197&h=148&q=85&mode=1,Gray,"$14,995"
2017 Toyota Camry,2017,"31,460 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/642/030/6/179f12a9.jpg?w=197&h=148&q=85&mode=1,Celestial Silver Metallic,"$16,995"
2017 Toyota Camry,2017,"27,728 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/429/934/0/759ea9b0.jpg?w=197&h=148&q=85&mode=1,Midnight Black Metallic,"$17,290"
2017 Toyota RAV4,2017,"40,673 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/612/475/7/1daa01ff.jpg?w=197&h=148&q=85&mode=1,Black,"$17,900"
2017 Toyota Camry,2017,"15,936 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/576/777/6/ef1219bc.jpg?w=197&h=148&q=85&mode=1,White,"$18,000"
2017 Toyota RAV4,2017,"41,367 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/284/623/9/e6934cd7.jpg?w=197&h=148&q=85&mode=1,Super White,"$21,498"
2017 Toyota RAV4,2017,"44,117 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/523/484/6/d106c9a1.jpg?w=197&h=148&q=85&mode=1,Magnetic Gray Metallic,"$21,789"
2017 Toyota RAV4,2017,"19,902 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/480/475/1/95bf6a21.jpg?w=197&h=148&q=85&mode=1,Black,"$24,213"
2015 Toyota RAV4,2015,"59,518 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/246/805/8/f772edb3.jpg?w=197&h=148&q=85&mode=1,Black,"$14,900"
2015 Toyota Camry,2015,"50,486 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/571/373/0/e497964e.jpg?w=197&h=148&q=85&mode=1,Gray,"$16,998"
2014 Toyota RAV4,2014,"116,363 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/702/866/4/dcd5a92f.jpg?w=197&h=148&q=85&mode=1,Brown,"$12,900"
2014 Toyota RAV4,2014,"62,820 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/533/805/8/fd3e98f0.jpg?w=197&h=148&q=85&mode=1,Magnetic Gray Metallic,"$16,694"
2011 Toyota Camry,2011,"60,536 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/307/961/4/07032379.jpg?w=197&h=148&q=85&mode=1,Magnetic Gray Metallic,"$9,100"
