model,year,mileage,image,color,cost
2017 Volvo XC90,2017,"97,393 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/197/065/881/2/79cddbc6.jpg?w=197&h=148&q=85&mode=1,Black,"$32,795"
2014 Volvo S60,2014,"25,791 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/077/220/9/5e8da72c.jpg?w=197&h=148&q=85&mode=1,Bright Silver Metallic,"$17,100"
2020 Volvo S60,2020,"16,882 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/649/026/0/7b210c27.jpg?w=197&h=148&q=85&mode=1,Gray,"$35,981"
2020 Volvo XC60,2020,"17,553 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/662/047/9/955b1222.jpg?w=197&h=148&q=85&mode=1,Silver,"$38,406"
2020 Volvo XC90,2020,"20,784 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/909/3/f35da17f.jpg?w=197&h=148&q=85&mode=1,Black,"$46,585"
2019 Volvo S60,2019,"30,586 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/649/024/9/c4573203.jpg?w=197&h=148&q=85&mode=1,Black,"$28,981"
2019 Volvo S60,2019,"24,849 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/649/025/8/63a1dcaf.jpg?w=197&h=148&q=85&mode=1,Gray,"$29,481"
2019 Volvo S60,2019,"11,997 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/567/411/0/378046db.jpg?w=197&h=148&q=85&mode=1,White,"$30,413"
2019 Volvo S60,2019,"7,395 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/565/519/4/fdf47e18.jpg?w=197&h=148&q=85&mode=1,Red,"$31,981"
2019 Volvo XC40,2019,"43,662 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/554/611/8/cb4b107e.jpg?w=197&h=148&q=85&mode=1,White,"$32,879"
2019 Volvo XC40,2019,"28,900 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/785/753/8/8b390fcb.jpg?w=197&h=148&q=85&mode=1,White,"$34,991"
2019 Volvo XC40,2019,"30,429 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/215/3/83d8dc95.jpg?w=197&h=148&q=85&mode=1,Black,"$36,481"
2019 Volvo XC40,2019,"36,628 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/387/978/2/039120a1.jpg?w=197&h=148&q=85&mode=1,Black,"$36,894"
2019 Volvo XC40,2019,"20,127 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/558/913/0/eaf49b80.jpg?w=197&h=148&q=85&mode=1,Gray,"$40,500"
2018 Volvo S90,2018,"47,382 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/767/255/5/b9000bc1.jpg?w=197&h=148&q=85&mode=1,Black,"$25,873"
2018 Volvo S90,2018,"41,790 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/717/126/0/54e91b5a.jpg?w=197&h=148&q=85&mode=1,White,"$25,981"
2018 Volvo S90,2018,"28,222 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/558/368/0/04fef32f.jpg?w=197&h=148&q=85&mode=1,Blue,"$27,783"
2018 Volvo S90,2018,"14,571 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/180/2/ae32385c.jpg?w=197&h=148&q=85&mode=1,White,"$29,999"
2018 Volvo S90,2018,"15,280 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/559/969/0/a4ca54d3.jpg?w=197&h=148&q=85&mode=1,Black,"$30,892"
2018 Volvo S90,2018,"34,085 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/767/266/8/e8dfb1a9.jpg?w=197&h=148&q=85&mode=1,Gray,"$33,594"
2018 Volvo XC90,2018,"40,432 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/154/417/4/d353bbe7.jpg?w=197&h=148&q=85&mode=1,White,"$34,698"
2018 Volvo S90,2018,"30,218 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/560/952/6/b2b1b625.jpg?w=197&h=148&q=85&mode=1,Gray,"$34,792"
2018 Volvo XC60,2018,"42,519 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/563/592/8/689f0db7.jpg?w=197&h=148&q=85&mode=1,Black,"$35,482"
2018 Volvo XC90,2018,"40,888 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/557/003/7/890d1e0e.jpg?w=197&h=148&q=85&mode=1,Black,"$36,477"
2018 Volvo S90,2018,"15,743 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/562/326/4/00666ebc.jpg?w=197&h=148&q=85&mode=1,Black,"$36,981"
2018 Volvo S90,2018,"23,847 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/754/988/7/81633d40.jpg?w=197&h=148&q=85&mode=1,Black,"$36,991"
2018 Volvo XC60,2018,"26,609 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/645/500/0/2d4ec0df.jpg?w=197&h=148&q=85&mode=1,Blue,"$37,981"
2018 Volvo V90 Cross Country,2018,"28,116 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/754/988/8/3e184fdb.jpg?w=197&h=148&q=85&mode=1,Black,"$38,991"
2018 Volvo XC90,2018,"38,388 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/779/175/7/db782172.jpg?w=197&h=148&q=85&mode=1,Silver,"$39,392"
2018 Volvo XC90,2018,"41,663 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/389/684/2/497a321f.jpg?w=197&h=148&q=85&mode=1,,"$39,394"
2018 Volvo V90 Cross Country,2018,"17,008 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/568/135/2/de5b6078.jpg?w=197&h=148&q=85&mode=1,Black,"$39,792"
2018 Volvo XC90,2018,"24,918 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/562/863/1/c313b54a.jpg?w=197&h=148&q=85&mode=1,Gray,"$40,981"
2018 Volvo XC90,2018,"23,343 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/560/895/4/5d7adc61.jpg?w=197&h=148&q=85&mode=1,Black,"$41,205"
2018 Volvo XC90,2018,"28,550 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/387/977/3/9b31746b.jpg?w=197&h=148&q=85&mode=1,White,"$41,693"
2018 Volvo XC90,2018,"22,043 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/216/104/8/2321348b.jpg?w=197&h=148&q=85&mode=1,Silver,"$42,583"
2018 Volvo XC60,2018,"11,710 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/558/685/2/ed0cb408.jpg?w=197&h=148&q=85&mode=1,Black,"$42,897"
